n_samples_queried	n_samples	error	log-loss	ECE	MCE	sharpness	overconfidence	underconfidence	avg_confidence	calibration_method	cv_run
4413	14563	0.0962596259625963	1.350816634479856	0.03778880485638363	0.669040404040404	0.0975995321145927	0.6759501112111502	0.10104650568889474	0.87748727206551	GPCalibration	0
4454	14813	0.09647964796479647	1.351468815306777	0.039779475608379494	0.7039898989898989	0.09786694617535943	0.6748777372941211	0.10146101175400601	0.8769602294907912	GPCalibration	0
4490	15063	0.09636963696369638	1.353238071717653	0.04159593653066526	0.7039898989898989	0.09845246891258815	0.6730080639555858	0.10161390036336387	0.8766665001584623	GPCalibration	0
4530	15313	0.09647964796479647	1.3535740521915276	0.03734678554711739	0.669040404040404	0.09869187613707549	0.6727289258636877	0.10188602761881378	0.8763689024366487	GPCalibration	0
4576	15563	0.0961496149614961	1.35452522643011	0.03998429369213748	0.6952525252525252	0.09804329200996213	0.6761627001081031	0.10273676874204722	0.8760045003201125	GPCalibration	0
4619	15813	0.09636963696369638	1.3500673928672389	0.039487931891951475	0.6952525252525252	0.09906283810358943	0.6747194333485136	0.10325584506280608	0.875347713120727	GPCalibration	0
1000	1000	0.11474147414741476	1.3844026299152397	0.07036588103254765	0.34843434343434343	0.15210202407377163	0.6049195995382792	0.1516983015947043	0.8203756776002025		1
1102	1250	0.1116611661166117	1.370792991003166	0.0652783167205609	0.34843434343434343	0.1488411321637934	0.6069074002277576	0.14487094586398336	0.8274123348052265		1
1173	1500	0.11133113311331133	1.367901864927584	0.06551351246235729	0.6865151515151515	0.14562036993546115	0.6112035162253316	0.14156819944909366	0.8309075955192802		1
1251	1750	0.11100110011001096	1.3452935388620153	0.06452605260526047	0.34843434343434343	0.14366587290877678	0.6109318656994777	0.14082475413958884	0.8316199575675198		1
1340	2000	0.10880088008800881	1.3400536352906107	0.06443507684101739	0.3396969696969697	0.1409045299339315	0.6112360554183517	0.14038614968691687	0.8325901276342175		1
1414	2250	0.10473047304730476	1.3365210366243065	0.06878782878287822	0.32222222222222224	0.13900788201657738	0.6082613125027168	0.14317917400479005	0.8307890705667333		1
1495	2500	0.10660066006600655	1.3478704375007076	0.06714444777811109	0.34843434343434343	0.1378178514420872	0.6114332512622335	0.14343252321858596	0.8304360065363001		1
1580	2750	0.10517051705170521	1.3493927346553023	0.06594760031558707	0.6777777777777778	0.13807624972336005	0.6133265671899569	0.14119039369188804	0.8329920281566315		1
1669	3000	0.10242024202420241	1.316799253801339	0.0675337144825593	0.32222222222222224	0.13700849801662723	0.6111723677661758	0.13865351139266618	0.8357235946025904		1
1748	3250	0.10187018701870187	1.3157615281485164	0.0652990743518796	0.32222222222222224	0.13629629068782798	0.6112541671985303	0.1371150445806387	0.8372512799636419		1
1824	3500	0.10220022002200224	1.319642502262335	0.06570323143425451	0.6603030303030303	0.13585732839986328	0.6114614698582538	0.13920810925237131	0.8353102668745561		1
1923	3750	0.10187018701870187	1.3223681039370998	0.0692778111144447	0.36590909090909096	0.1309481548516603	0.612086864238568	0.13984976370144822	0.8348799741943114		1
2003	4000	0.10121012101210125	1.323021861535856	0.0732787167605649	0.36590909090909096	0.1306795459971166	0.6087147688135153	0.14148582243123137	0.8332319491798981		1
